outfall_structure,waterway_reach,open_timestamp,close_timestamp,river_segment_id
PULASKI RD PS (18E-PS),Cal Sag Ch,2013-04-17 00:01:00,2013-04-18 00:00:00,21
DS-N02,NBCR Upper (NSC Confluence),2013-04-17 14:55:00,2013-04-17 23:59:00,4
"DS-D47,50,51",Salt Cr,2013-04-17 15:12:00,2013-04-17 15:16:00,16
TG-I28 & I29,SB Chicago R,2013-04-17 15:28:00,2013-04-17 15:34:00,6
DS-N19,NBCR Upper (NSC Confluence),2013-04-17 15:40:00,2013-04-17 18:56:00,4
TG-I28 & I29,SB Chicago R,2013-04-17 15:40:00,2013-04-17 15:46:00,6
DS-N17,NBCR Upper (NSC Confluence),2013-04-17 15:41:00,2013-04-17 23:59:00,4
"DS-D47,50,51",Salt Cr,2013-04-17 15:41:00,2013-04-17 15:45:00,16
DS-N18,NBCR Upper (NSC Confluence),2013-04-17 15:42:00,2013-04-17 23:59:00,4
DS-N11,NBCR Upper (NSC Confluence),2013-04-17 15:42:00,2013-04-17 17:10:00,4
DS-N13R,NBCR Upper (NSC Confluence),2013-04-17 15:43:00,2013-04-17 23:59:00,4
DS-N16,NBCR Upper (NSC Confluence),2013-04-17 15:43:00,2013-04-17 16:19:00,4
DS-N10B,NBCR Upper (NSC Confluence),2013-04-17 15:44:00,2013-04-17 23:59:00,4
DS-N08,NBCR Upper (NSC Confluence),2013-04-17 15:47:00,2013-04-17 23:59:00,4
DS-M82,NBCR Lower (NSC Confluence),2013-04-17 15:48:00,2013-04-17 23:59:00,3
DS-M105W,NSC Upper (NSWRP),2013-04-17 15:50:00,2013-04-17 23:59:00,1
DS-M08,CSSC Lower (SWRP),2013-04-17 15:52:00,2013-04-17 23:59:00,9
TG-I28 & I29,SB Chicago R,2013-04-17 15:53:00,2013-04-17 15:58:00,6
DS-M109 N,NSC Upper (NSWRP),2013-04-17 15:58:00,2013-04-17 23:59:00,1
DS-M70,NBCR Lower (NSC Confluence),2013-04-17 15:58:00,2013-04-17 16:35:00,3
DS-D08,DesPlaines Middle,2013-04-17 15:58:00,2013-04-17 17:02:00,14
DS-M30,SF SB Chicago R,2013-04-17 15:59:00,2013-04-17 17:29:00,7
DS-M104,NSC Upper (NSWRP),2013-04-17 15:59:00,2013-04-17 19:49:00,1
DS-M73,NBCR Lower (NSC Confluence),2013-04-17 16:06:00,2013-04-17 19:07:00,3
DS-M88,NBCR Lower (NSC Confluence),2013-04-17 16:06:00,2013-04-17 23:59:00,3
DS-N03,NBCR Upper (NSC Confluence),2013-04-17 16:06:00,2013-04-17 20:04:00,4
DS-M79,NBCR Lower (NSC Confluence),2013-04-17 16:08:00,2013-04-17 23:59:00,3
DS-M13,CSSC Upper (SWRP),2013-04-17 16:08:00,2013-04-17 20:58:00,8
DS-M25,SB Chicago R,2013-04-17 16:08:00,2013-04-17 17:28:00,6
DS-M84,NBCR Lower (NSC Confluence),2013-04-17 16:10:00,2013-04-17 23:59:00,3
DS-M97,NSC Lower (NSWRP),2013-04-17 16:11:00,2013-04-17 18:52:00,2
DS-M03,CSSC Lower (SWRP),2013-04-17 16:12:00,2013-04-17 23:59:00,9
DS-N06,NBCR Upper (NSC Confluence),2013-04-17 16:15:00,2013-04-17 16:31:00,4
DS-M66,NBCR Lower (NSC Confluence),2013-04-17 16:20:00,2013-04-17 20:42:00,3
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-17 16:21:00,2013-04-17 23:59:00,3
DS-M86,NBCR Lower (NSC Confluence),2013-04-17 16:21:00,2013-04-17 18:04:00,3
DS-M20,CSSC Upper (SWRP),2013-04-17 16:24:00,2013-04-17 20:18:00,8
DS-M15,CSSC Upper (SWRP),2013-04-17 16:28:00,2013-04-17 23:59:00,8
DS-N04,NBCR Upper (NSC Confluence),2013-04-17 16:28:00,2013-04-17 18:02:00,4
DS-N09,NBCR Upper (NSC Confluence),2013-04-17 16:29:00,2013-04-17 17:14:00,4
WCPS (DS-D34-AI),Addison Cr,2013-04-17 16:30:00,2013-04-17 23:59:00,23
TG-I28 & I29,SB Chicago R,2013-04-17 16:32:00,2013-04-17 16:37:00,6
DS-N07,NBCR Upper (NSC Confluence),2013-04-17 16:35:00,2013-04-17 18:06:00,4
DS-D15,DesPlaines Middle,2013-04-17 16:38:00,2013-04-17 16:58:00,14
DS-N16,NBCR Upper (NSC Confluence),2013-04-17 16:42:00,2013-04-17 17:21:00,4
DS-M101,NSC Upper (NSWRP),2013-04-17 16:43:00,2013-04-17 21:06:00,1
