id,timestamp,comm_area,call_type
1,8/9/2016 12:30,Austin,Water in Basement
2,8/10/2016 18:30,Austin,Water in Basement
3,8/10/2016 21:30,Austin,Water in Basement
4,8/11/2016 13:00,Austin,Water in Basement
5,8/12/2016 11:00,Austin,Water in Basement
6,8/12/2016 11:30,Austin,Water in Basement
7,8/18/2016 7:30,Austin,Water in Basement
8,8/18/2016 7:30,Austin,Water in Basement
9,8/18/2016 9:30,Austin,Water in Basement
10,8/18/2016 22:00,Austin,Water in Basement
11,8/20/2016 11:00,Austin,Water in Basement
12,8/20/2016 12:00,Austin,Water in Basement
13,8/22/2016 7:00,Austin,Water in Basement
14,8/23/2016 11:00,Austin,Water in Basement
15,8/24/2016 3:00,Austin,Water in Basement
16,8/24/2016 17:00,Austin,Water in Basement
17,8/27/2016 13:00,Austin,Water in Basement
18,8/27/2016 13:00,Austin,Water in Basement
19,8/27/2016 14:30,Austin,Water in Basement
20,8/28/2016 7:00,Austin,Water in Basement
21,8/29/2016 9:00,Austin,Water in Basement
22,8/30/2016 10:30,Austin,Water in Basement
23,9/9/2016 12:00,Austin,Water in Basement
24,9/12/2016 9:30,Austin,Water in Basement
25,8/5/2016 14:30,Austin,Water in Street
26,8/8/2016 10:00,Austin,Water in Street
27,8/11/2016 9:00,Austin,Water in Street
28,8/12/2016 11:00,Austin,Water in Street
29,8/12/2016 11:30,Austin,Water in Street
30,8/12/2016 11:30,Austin,Water in Street
31,8/12/2016 11:30,Austin,Water in Street
32,8/12/2016 11:30,Austin,Water in Street
33,8/12/2016 12:00,Austin,Water in Street
34,8/12/2016 14:00,Austin,Water in Street
35,8/12/2016 15:30,Austin,Water in Street
36,8/12/2016 19:30,Austin,Water in Street
37,8/13/2016 12:00,Austin,Water in Street
38,8/14/2016 16:00,Austin,Water in Street
39,8/14/2016 16:00,Austin,Water in Street
40,8/15/2016 8:00,Austin,Water in Street
41,8/16/2016 21:00,Austin,Water in Street
42,8/17/2016 19:30,Austin,Water in Street
43,8/18/2016 7:00,Austin,Water in Street
44,8/18/2016 7:30,Austin,Water in Street
45,8/18/2016 8:00,Austin,Water in Street
46,8/18/2016 8:00,Austin,Water in Street
47,8/18/2016 14:30,Austin,Water in Street
48,8/20/2016 9:30,Austin,Water in Street
49,8/20/2016 10:30,Austin,Water in Street
50,8/20/2016 11:00,Austin,Water in Street
51,8/20/2016 12:00,Austin,Water in Street
52,8/20/2016 12:30,Austin,Water in Street
53,8/20/2016 15:00,Austin,Water in Street
54,8/20/2016 17:30,Austin,Water in Street
55,8/20/2016 18:30,Austin,Water in Street
56,8/21/2016 17:00,Austin,Water in Street
57,8/22/2016 17:00,Austin,Water in Street
58,8/24/2016 14:30,Austin,Water in Street
59,8/27/2016 8:00,Austin,Water in Street
60,8/27/2016 10:30,Austin,Water in Street
61,8/27/2016 12:30,Austin,Water in Street
62,8/27/2016 15:00,Austin,Water in Street
63,8/27/2016 18:00,Austin,Water in Street
64,8/29/2016 9:00,Austin,Water in Street
65,8/29/2016 11:00,Austin,Water in Street
66,8/29/2016 11:00,Austin,Water in Street
67,8/29/2016 19:00,Austin,Water in Street
68,8/31/2016 10:30,Austin,Water in Street
69,9/1/2016 14:30,Austin,Water in Street
70,9/2/2016 18:00,Austin,Water in Street
71,9/6/2016 9:30,Austin,Water in Street
72,9/7/2016 13:30,Austin,Water in Street
73,9/7/2016 14:00,Austin,Water in Street
74,9/8/2016 6:30,Austin,Water in Street
75,9/9/2016 12:00,Austin,Water in Street
76,8/4/2016 23:30,South Shore,Water in Basement
